,company,username,esg_company,verified
1765,Smith & Nephew,smithnephewmeded,"Smith & Nephew, Inc.",Smith+Nephew
1766,Smurfit Kappa Group,smurfit_kappa_group,Smurfit Kappa Group plc,Smurfit Kappa
1767,Snam,Not Verified,Snam Rete Gas,Not Verified
1768,Snap,snapdogg,Snap Inc,Verified
1769,Snap-on,snapon_official,Snap-on Incorporated,Verified
1770,Société Générale,societegenerale,Societe Generale - Corporate & Invesment Banking,Verified
1771,Sodexo,#sodexo,"Sodexo, Inc.","139,316 posts"
1772,Sofina,sofinaodero,Sofina SA,Sofina Odero
1773,Softbank,softbank_official,SOFTBANK CORPORATION,Verified
1774,S-Oil,soilmicrobelibrary,S-Oil Corporation,Soil Microbe Library
1775,Sojitz,sojitz_go_beyond,Sojitz Corp,双日株式会社 新卒採用チーム
1776,Mosaic,mosaic,Solar Mosaic,Verified
1777,Solvay,solvaygroup,Solvay SA,Solvay
1778,Sompo Japan Nipponkoa,#sompojapannipponkoa,"Sompo Holdings, Inc",199 posts
1779,Sompo,sompoposhop,Sompo Japan Insurance,Sompopo Shop
1780,Sony,sony,Sony Corporation,Verified
1781,Southern Company,southerncompany,Southern Company,Verified
1782,Southwest Airlines,southwestair,Southwest Airlines Co.,Verified
1783,Spectrum,spectrumoutfitters,Spectrum,Spectrum Outfitters
1784,Spirit AeroSystems,spiritaero,Spirit AeroSystems Holdings Inc.,Spirit AeroSystems
1785,Splunk,splunk,Splunk Inc.,Verified
1786,spotify,spotify,Spotify Technology SA,Verified
1787,Spotify Technology,spotifytechnologysa,Spotify Technology SA,Spotify
1788,Sprint,sprint,Sprint Nextel Corporation,Verified
1789,SS&C Technologies,ssctechnologies,"SS&C Technologies Holdings, Inc.",SS&C
1790,Standard Bank Group,standardbankgrp,Standard Bank Group Ltd.,Standard Bank Group
1791,Stanley Black & Decker,stanleyblackdecker,Stanley Black & Decker Inc.,Verified
1792,STAPLES,staples,"Staples, Inc.",Verified
1793,Starbucks,starbucks,Starbucks Corporation,Verified
1794,Starwood Property Trust,#starwoodpropertytrust,Starwood Property Trust Inc,12 posts
1795,State Bank of India,theofficialsbi,State Bank of India Group,Verified
1796,State Farm,jakefromstatefarm,State Farm Insurance,Verified
1797,State Grid,stategridbrasil,State Grid,State Grid Brazil Holding
1798,State Street,statestreetgrill,State Street Corporation,State Street Grill
1799,Steel Authority of India,steelauthority,Steel Authority of India Limited,Verified
1800,Steel Dynamics,steeldynamics,"Steel Dynamics, Inc.",Steel Dynamics Inc.
1801,Steris,steris_ims,STERIS Corporation,STERIS IMS North America
1802,Stifel Financial,stifelfinancial,Stifel Financial Corp.,Stifel
1803,STMicroelectronics,stmicroelectronics.nv,"STMicroelectronics, Inc.",STMicroelectronics
1804,INTL FCStone,intlfx,StoneX,INTL FCStone Ltd.
1805,Stora Enso,storaensoworld,Stora Enso OYJ,Stora Enso
1806,Storebrand,lovedove_store,Storebrand ASA,LOVEDOVE THE BRAND
1807,STRABAG,strabag_official,Strabag SE,STRABAG
1808,Stryker,strykerthecat,Stryker,Stryker
1809,Subaru,subaru__wrx.sti,Subaru,SUBARU WRX STI
1810,Sumitomo Chemical,sumitomochemicalargentina,Sumitomo Chemical Company Limited,Verified
1811,Sumitomo,sumitomotires,Sumitomo Corporation,Sumitomo Tires
1812,Sumitomo Electric,sumicarbide,SUMITOMO ELECTRIC INDUSTRIES LIMITED,Sumitomo Electric Carbide
1813,Sumitomo Metal Mining,#sumitomometalmining,SUMITOMO METAL MINING CO LTD,8 posts
1814,Sumitomo Mitsui Financial,#sumitomomitsuifinancialgroup,Sumitomo Mitsui Financial Group,5 posts
1815,Sumitomo Mitsui Trust,#sumitomomitsuitrustbank,Sumitomo Mitsui Trust Bank,35 posts
1816,Sumitomo Realty,#sumitomorealty,Sumitomo Realty & Development Company Li,4 posts
1817,Sun Art Retail Group,#sunartretailgroup,SUN ART RETAIL GROUP LTD,3 posts
1818,Sun Hung Kai Properties,#sunhungkaiproperties,Sun Hung Kai Properties Limited,967 posts
1819,Sun Life Financial,sunlifefinancialcpac,Sun Life Financial Inc.,Sun Life Financial CPAC
1820,Sunac China Holdings,旺角大球場,Sunac China Holdings Limited,"Mong Kok Stadium 37 Flower Market Road, Kownloon., Hong Kong"
1821,Suncor Energy,suncorenergy,Suncor Energy Inc.,Suncor Energy
1822,Suncorp Group,bonnie226655,Suncorp-Metway Limited,SUNCORP GROUP OF COMPANY
1823,Suning.com,dosttuning,"Suning.com Co., Ltd.",DOST TUNİNG.com
1824,Sunny Optical Technology Group,#sunnyopticaltechnology,Sunny Optical Technology (Group) Company Limited,1 post
1825,Suntory Beverage & Food,schweppessuntorybenelux,Suntory Beverage & Food Ltd,Suntory Beverage& Food Benelux
1826,SUPERVALU,supervalu_irl,Supervalu Inc.,Verified
1827,Surgutneftegas,surgutneftegas,Surgutneftegaz,Сергей Я.
1828,Suzano Papel e Celulose,#suzanopapelecelulose,Suzano Papel E Celulose SA,"4,583 posts"
1829,Suzuken,_.suzuken._,Suzuken Company Limited,KENTA SUZUKI
1830,Suzuki Motor,suzukiindonesiamotor,Suzuki Motor Corp.,Verified
1831,SVB Financial Group,#svbfinancialgroup,SVB Capital Partners,7 posts
1832,SCA,scarface1u1u,Svenska Cellulosa B,1Up Lu
1833,Svenska Handelsbanken,handelsbanken,Svenska Handelsbanken AB,Svenska Handelsbanken AB
1834,Swedbank,swedbanklietuvoje,Swedbank AB,Verified
1835,Swedish Match,swedishmatch.se,Swedish Match AB,Swedish Match Official
1836,Swire Pacific,#swirepacificoffshore,Swire Pacific Limited,222 posts
1837,Swiss Life Holding,#swisslifeholding,SWISS LIFE HOLDING,2 posts
1838,Swiss Prime Site,swissprimegram,Swiss Prime Site AG,Swiss Prime Site
1839,Swiss Re,swiss_re_group,Swiss Reinsurance Company,Swiss Re
1840,Swisscom,swisscom,Swisscom,Verified
1841,Synchrony Financial,#synchronyfinancial,SYNCHRONY FINANCIAL,"3,585 posts"
1842,SYNNEX,synnexcorporation,SYNNEX Corporation,SYNNEX Corporation
1843,Synopsys,synopsyslife,"Synopsys, Inc.",Synopsys
1844,Synovus Financial,synovusfina,Synovus Financial Corp.,synovusfinancialcop
1845,Sysco,syscofoodie,SYSCO Corporation,Sysco Foodie
1846,Sysmex,sysmex_figureskatingteam,Sysmex,シスメックス スケートチーム | 三原舞依 ＆ 坂本花織
1847,T&D Holdings,td.holdings,T&D HOLDINGS INCORPORATED,teedee bridals
1848,T Rowe Price,t._rowe_price,"T. Rowe Price Group, Inc.",Verified
1849,Taco Bell,tacobell,Taco Bell,Verified
1850,Tahoe Group,tahoe_grouplebanon,"TAHOE GROUP CO., LTD",TGL
1851,Taisei,tskd1126_,Taisei Corp,TAISEI
1852,Taishin Financial Holdings,#taishinfinancialholdings,Taishin Financial Holding Co. Ltd.,5 posts
1853,Taiwan Business Bank,#taiwanbusinessbank,Taiwan Business Bank,19 posts
1854,Taiwan Cement,taiwan_cement,Taiwan Cement Corp.,台灣水泥(台泥)
1855,Taiwan Cooperative Financial,Not Verified,Taiwan Cooperative Bank,Not Verified
1856,Taiwan Semiconductor,#taiwansemiconductormanufacturing,Taiwan Semiconductor Manufacturing Company Ltd.,26 posts
1857,Takeda Pharmaceutical,#takedapharmaceuticals,Takeda Pharmaceutical Company,252 posts
1858,Take-Two Interactive Software,Take-Two Interactive,"Take-Two Interactive Software, Inc.","110 West 44th st, New York, New York"
1859,Talanx,talanxtonii,Talanx Group,‘.T&T 5L🔗😍!
1860,COACH,coach,"Tapestry, Inc",Verified
1861,Targa Resources,#targaresources,Targa Resources Corp.,25 posts
1862,Target,target,Target Corporation,Verified
1863,Tata Consultancy Services,tcsglobal,Tata Consultancy Services,Tata Consultancy Services
1864,TATA Group,tatacompanies,Tata Group,Verified
1865,Tata Motors,tatamotorscars,Tata Motors Limited,Verified
1866,Tata Steel,tskolkata25,Tata Steel Ltd.,Verified
1867,Taylor Wimpey,taylorwimpey,Taylor Wimpey,Verified
1868,TC Energy,tcenergy,TC Energy Corporation,TC Energy
1869,TCF Financial,tcfinancialservices,TCF Financial Corporation,T&C FINANCIAL SERVICES
1870,TCL,tcl_usa,TCL Corporation,Verified
1871,TD Ameritrade Holding,TD Ameritrade,TD Ameritrade,"1628 Clarkson Rd, Chesterfield, MO"
1872,TDK,tdkaayjuug,TDK Corporation,FOREVER3️⃣💔👌🏾
1873,TE Connectivity,teconnectivity,TE Connectivity Ltd.,TE Connectivity
1874,Tech Data,techdatacorporation,Tech Data Corporation,Tech Data Corporation
1875,Tech Mahindra,tech_mahindra_foundation,Tech Mahindra Ltd.,Tech Mahindra Foundation
1876,Techtronic Industries,tticanadainc,Techtronic Industries Company Limited,Techtronic Industries Canada
1877,Telecom Italia,telecom_italia_s.p.a,Telecom Italia,Telecom Italia s.p.a
1878,Teledyne Technologies,#teledynetechnologiesinc,Teledyne Technologies Inc.,1 post
1879,Teleflex,teleflexincorporated,Teleflex Incorporated,Teleflex Incorporated
1880,Movistar,movistar_malteria,Telefonica SA,Movistar Malteria Plaza
1881,Telenor,telenordcomdo,Telenor ASA,Telenord
1882,Teleperformance,teleperformance_usa,Teleperformance,Teleperformance USA
1883,Telia Company,#teliacompany,TeliaSonera,"1,315 posts"
1884,Telstra,telstra,Telstra,Verified
1885,TELUS,telus,TELUS Corporation,Verified
1886,ST Engineering,st_engineering,TEMASEK HOLDINGS (PRIVATE) LIMITED,ST Engineering
1887,Tenaga Nasional,tenaga_nasional,Tenaga Nasional Bhd,Verified
1888,Tenaris,tenaris,Tenaris,Tenaris
1889,Tencent Holdings,#tencentholdings,Tencent Holdings Limited,301 posts
1890,Tenet Healthcare,tenet_healthcare,Tenet Healthcare Corporation,Tenet Health Care
1891,Terna,Not Verified,Terna Spa,Not Verified
1892,Ternium,aceroternium,TERNIUM S.A.,Ternium
1893,Terumo,#terumob,TERUMO CORPORATION,"4,035 posts"
1894,Tesco,tescofood,Tesco PLC,Verified
1895,Tesla,teslamotors,"Tesla Motors, Inc.",Verified
1896,Teva Pharmaceutical,biglivermore,Teva Pharmaceuticals,Teva Pharmaceutical
1897,Texas Instruments,txinstruments,Texas Instruments Incorporated,Verified
1898,Textron,textron,Textron Inc.,Textron
1899,Thai Beverage,mongkut.id,Thai Beverage PLC,Thai Street Food & Beverages
1900,Thales,thales_c76,Thales SA,Thales Corrêa
1901,Allstate,allstate,The Allstate Corporation,Verified
1902,Bank of East Asia,bank_of_east_asia,The Bank of East Asia,bankofeastasia
1903,Bank of New York Mellon,#bankofnewyorkmellon,The Bank of New York Mellon,344 posts
1904,Scotiabank,scotiabank,The Bank of Nova Scotia,Verified
1905,Boeing,boeing,The Boeing Company,Verified
1906,Clorox,clorox,The Clorox Company,Verified
1907,Coca-Cola,cocacolasrbija,The Coca-Cola Company,Verified
1908,Fresh Market,thefreshmarket,"The Fresh Market, Inc.",Verified
1909,Goldman Sachs Group,#goldmansachsgroup,"The Goldman Sachs Group, Inc.",27 posts
1910,Goodyear,goodyear,The Goodyear Tire & Rubber Company,Verified
1911,Hartford Financial Services,Aakash financial services Ltd.,"The Hartford Financial Services Group, Inc.",Narwana
1912,Hershey,hersheys,The Hershey Company,Verified
1913,Kiyo Bank,kiyobank_koho_official,"The Kiyo Bank, Ltd.",株式会社紀陽銀行★広報担当
1914,Kraft Heinz Company,kraftheinzus,The Kraft Heinz Company,Verified
1915,NASDAQ,nasdaq,"The Nasdaq Stock Market, Inc.",Verified
1916,OFFICE DEPOT,officedepot,The ODP Corporation,Verified
1917,Saudi British Bank,#saudibritishbank,The Saudi British Bank,45 posts
1918,Sherwin-Williams,sherwinwilliams,The Sherwin-Williams Company,Verified
1919,Shizuoka Bank,#shizuokabank,The Shizuoka Bank Limited,22 posts
1920,Siam Cement,siam_cement_group,The Siam Cement Public Company Limited,SCG
1921,Siam Commercial Bank,#siamcommercialbank,The Siam Commercial Bank Public Company Limited,828 posts
1922,Swatch Group,marcelswatchgroup,The Swatch Group Ltd,MarCels Watch Group
1923,TJX Cos,tjxcosmetics,"The TJX Companies, Inc.",TJ x Cosmetics
1924,Toho Bank,_inthosejeans,"The Toho Bank, Ltd.",The Booty Bank
1925,TD Bank Group,#tdbankgroup,The Toronto-Dominion Bank,127 posts
1926,Travelers,trvlrsseries,"The Travelers Companies, Inc.",Verified
1927,Walt Disney,waltdisneyworld,The Walt Disney Company,Verified
1928,Western Union,westernunion,The Western Union Company,Verified
1929,Williams,thewilliamsfam,"The Williams Companies, Inc.",Verified
1930,Thermo Fisher Scientific,thermofisherscientific,Thermo Fisher Scientific,Verified
1931,Thomson Reuters,thomsonreuters,Thomson Reuters Corporation,Verified
1932,ThyssenKrupp Group,#thyssenkruppgroup,ThyssenKrupp AG,1 post
1933,TIAA,tiaashwri,TIAA-CREF,Tia.
1934,HNA Technology,hnatechnologystore,Tianjin Marine Shipping Co Ltd,H&A Technology
1935,Tiffany & Co.,tiffanyandco,Tiffany & Co.,Verified
1936,Tim Hortons,timhortons,Tim Hortons,Verified
1937,Restaurant Brands International,Restaurant Brands International,Tim Hortons,5707 Blue Lagoon Drivd
1938,Tingyi Holding,Not Found,Tingyi Cayman Islands Holdings,Not Found
1939,TMB Bank,tmb_bankltd,TMB Bank PCL,Andheri East
1940,Tohoku Electric Power,#tohokuelectricpower,Tohoku Electric Power Company Inc,18 posts
1941,Tokio Marine Holdings,#tokiomarineholdings,Tokio Marine Holdings,4 posts
1942,Tokyo Electric Power,tokyo_electric_power_co,Tokyo Electric Power Company Inc,тлб
1943,Tokyo Electron,tokyo.electronic.makassar,Tokyo Electron Limited,Tokyo Electronic Makassar
1944,Tokyo Gas,tokyogas_creators_official,Tokyo Gas Company Limited,東京ガスクリエイターズ
1945,Tokyo Kiraboshi Financial Group,Not Verified,Tokyo TY Financial Group Inc,Not Verified
1946,Tokyu,tokyuhandsinc,"TOKYU CONSTRUCTION CO., LTD.",Verified
1947,Toll Brothers,tollbrothers,"Toll Brothers, Inc.",Verified
1948,Tongling Nonferrous Metals,FSA Metals Ferrous and Non-Ferrous Metal Merchants,"Tongling Nonferrous Metals Group Co., Ltd.","Hoewe 702 Vorentoe Geluk, Brits, North West"
1949,Top Frontier Investment Holdings,Top Notch Talent,TOP FRONTIER INVESTMENT HOLDINGS INC.,"UMS Investment Holdings Sdn. Bhd. Lot 64 & 65, Block K, K-0-2, Alamesra Plaza Utama, Jalan UMS, 88400 Kota Kinabalu, Sabah."
1950,Toppan Printing,toppan_printing,Toppan Printing Company Limited,toppanprinting17
1951,Toray Industries,#torayindustries,"TORAY INDUSTRIES, INC.",29 posts
1952,Toshiba,toshibausa,TOSHIBA CORPORATION,Verified
1953,Tosoh,tosh_chareton,Tosoh America Inc.,Tosh Chareton
1954,Total,tlchq,Total Petrochemicals,Total Life Changes
1955,Towngas,towngas,TOWNGAS CHINA CO. LTD.,WC Chan
1956,Toyota Industries,toyota_industries_,TOYOTA INDUSTRIES CORPORATION,Toyota
1957,Lexus,lexususa,Toyota Motor Corp.,Verified
1958,Toyota Motor,toyotamotorhomes,Toyota Motor Corp.,Toyota Motorhomes [ TOYMO ]
1959,Toyota Tsusho,toyotatsushooficial,Toyota Tsusho UK Ltd,Toyota Tsusho
1960,"TOYS ""R"" US",toysruscanada,Toys R Us,Verified
1961,Tractor Supply,tractorsupply,Tractor Supply Company,Verified
1962,Trane Technologies,tranetechnologies,Trane Technologies PLC,Trane Technologies
1963,TransDigm Group,#transdigmgroup,TransDigm Holding Company,1 post
1964,Transneft,transneft_dv,Transneft,«Транснефть - Дальний Восток»
1965,TransUnion,transunion,TRANSUNION,Verified
1966,Transurban Group,transurbangroup,TRANSURBAN GROUP,Transurban
1967,Trimble,trimblefamilybucketlist,Trimble Navigation Limited,Trimble Family Bucket List
1968,Trip.com Group,tripcomgroup,Trip.com Group Limited,Trip.com Group
1969,Truist Financial,truist_63,Truist Financial Corporation,Truist Financial
1970,TUI,tuisutherland,TUI AG,Tui Sutherland
1971,Turkish Airlines,turkishairlines,Turkish Airlines,Verified
1972,Garanti Bank,#garantibankası,Turkiye Garanti Bankasi A.S.,"41,284 posts"
1973,Halkbank,halkbank,Turkiye Halk Bankasi AS,Verified
1974,Isbank,isbanky,Turkiye Is Bankasi A.S.,ISBANKY
1975,VakifBank,vakifbanksk,Turkiye Vakiflar Bankasi T.A.O.,Verified
1976,Twilio,twilio,Twilio Inc,Twilio
1977,Twitter,twitter,Twitter,Verified
1978,Tyson Foods,tysonfoods,"Tyson Foods, Inc.",Verified
1979,US Bancorp,bigpinkpdx,U.S. Bancorp,U.S. Bancorp Tower
1980,United Airlines,unitedpilotsmec,UAL Corporation,Verified
1981,Uber,uber,Uber,Verified
1982,UBI Banca,ubibanca,UBI Banca,Verified
1983,UBS,ubs,UBS AG,Verified
1984,UCB,#ucberkeley,UCB SA,"290,057 posts"
1985,UGI,ugi1122,UGI Corporation,Ugi The Contortionist
1986,Ulta Beauty,ultabeauty,Ulta Beauty Inc,Verified
1987,Ultrapar Participacoes,Ultrapar Participações S/A.,Ultrapar Participacoes S.A.,"1343 Avenida Brigadeiro Luís Antônio, São Paulo, São Paulo"
1988,Umicore,umicoregroup,Umicore SA,Umicore Group
1989,Unicharm,unicharm,Uni Charm Corporation,arman
1990,Unicaja Banco,unicajabanco,Unicaja,Unicaja Banco
1991,UniCredit,unicreditbanca.it,UniCredito Italiano S.p.A.,UniCredit Banca
1992,Unilever,unilever,Unilever PLC,Verified
1993,Union Bank of India,unionbankinsta,Union Bank of India,Verified
1994,Union Pacific,uprr,Union Pacific Corporation,Union Pacific
1995,Unipol Gruppo,#unipolgruppo,Unipol,408 posts
1996,Uni-President,unipresidentindonesia,Uni-President China Holdings Ltd.,Uni President Indonesia
1997,Uniqa,uniqajewels,UNIQA Versicherungen AG,UNIQA jewels
1998,United Airlines Holdings,Not Verified,United Airlines Holdings Inc,Not Verified
1999,United Overseas Bank,#unitedoverseasbank,United Overseas Bank,707 posts
2000,United Parcel Service,unitedparcelservice,"United Parcel Service, Inc.",UPS United Parcel Service
2001,United Rentals,united.rentals,"United Rentals, Inc.",Verified
2002,USAA,usaa,United Services Automobile Association,Verified
2003,US Steel,us_steel_project,United States Steel Corporation,US Steel
2004,United Utilities,unitedutilities,United Utilities plc,United Utilities
2005,Optum,optum,UnitedHealth Group Incorporated,Optum
2006,UnitedHealth Group,uhgbrasil,UnitedHealth Group Incorporated,UnitedHealth Group Carreiras
2007,Universal,universalstandard,Universal Corporation,Verified
2008,Universal Health,#universalhealthcare,"Universal Health Services, Inc.","41,039 posts"
2009,Unum,unumdesign,UNUM Group,UNUM
2010,UPM-Kymmene,upmkaukas,UPM-Kymmene OYJ,UPM-Kymmene Oyj Kaukas
2011,US Foods,us_foods,"US Foods, Inc.",Verified
2012,Vale,valentinolazaroh,Vale,Valentino Lázaro
2013,Valeo,valeofutbol,Valeo SA,Valeo FC Official
2014,Valero Energy,valeroenergy,Valero Energy Corporation,Verified
2015,Vanguard,vanguardgroup,Vanguard,Verified
2016,Vedanta Limited,#vedantalimited,Vedanta Limited,77 posts
2017,Veeva Systems,veevasystems,Veeva Systems Inc,Veeva
2018,Ventas,ventasapisvalera,"Ventas, Inc.",Apis Market
2019,Veolia Environnement,#veoliaenvironnement,Veolia Environnement,17 posts
2020,VEON,veronicabeard,VEON Ltd.,Verified
2021,Verbund,verbund_ag,Verbund-Osterreichische,VERBUND
2022,VeriSign,verisigned,"VeriSign, Inc.",VeriSigned
2023,Verisk Analytics,veriskanalytics,Verisk Analytics Inc.,Verisk Analytics
2024,Verizon Communications,#verizoncommunications,Verizon Communications Inc.,180 posts
2025,Vertex Pharmaceuticals,vertexpharmaceuticals,Vertex Pharmaceuticals Incorporated,Verified
2026,Vestas Wind Systems,#vestaswindsystems,Vestas Wind Systems,102 posts
2027,CBS,cbssports,CBS Broadcasting Inc,Verified
2028,ViacomCBS,viacomcbs,ViacomCBS Inc.,Verified
2029,VICI Properties,viciproperties,VICI PROPERTIES INC.,viciproperties
2030,Victoria,vlfuller,Victoria,Verified
2031,Vienna Insurance Group,vienna_insurance_group,Vienna Insurance Group,КУПАЛА
2032,VINCI,vincileather,Vinci SA,Vinci Leather Shoes
2033,Vingroup,phamnhatvuong_vingroup,Vingroup Joint Stock Company,Pham Nhat vuong
2034,Vipshop Holdings,Not Verified,Vipshop Holdings Ltd,Not Verified
2035,Visa,visa_us,Visa International,Verified
2036,Vistra Energy,#vistraenergy,Vistra Energy Corp,57 posts
2037,VMware,vmware,"VMware, Inc.",VMware
2038,Vodafone,vodafoneuk,Vodafone Group Inc.,Verified
2039,Volkswagen Group,volkswagengroup_culture,Volkswagen AG,Verified
2040,Volvo Group,volvogroup,Volvo AB,Volvo Group
2041,Vonovia,vonovia,Vonovia SE,Vonovia SE
2042,Vornado Realty,vornadorealtytrust,Vornado Realty Trust,Vornado Realty Trust
2043,Voya Financial,voya,Voya Financial,Voya Financial
2044,VTB Bank,bank_vtb_azerbaijan,VTB Bank JSC,Bank VTB (Azerbaijan)
2045,Vulcan Materials,vulcanmaterialscompany,Vulcan Materials Company,Vulcan Materials Company
2046,W.P. Carey,w.p.carey_msba,W. P. Carey & Co. LLC,ASU W. P. Carey MSBA🌞
2047,WR Berkley,#wrberkley,W. R. Berkley Corporation,162 posts
2048,WW Grainger,#wwgrainger,"W.W. Grainger, Inc.",53 posts
2049,Westinghouse Air Brake Technologies,Westinghouse Air Brake Technologies,Wabtec,"130 Ridgeview Center Dr, Spartanburg, SC"
2050,Walgreens Boots Alliance,wba_global,Walgreen Co.,Verified
2051,Walmart,walmart,"Wal-Mart Stores, Inc.",Verified
2052,Sam's Club,samsclub,"Wal-Mart Stores, Inc.",Verified
2053,Asda,asda,"Wal-Mart Stores, Inc.",Verified
2054,Wanhua Chemical Group,#wanhuachemicalgroup,"Wanhua Chemical Group Co.,Ltd.",7 posts
2055,Want Want China,Want Want China Holdings Ltd.旺旺集团,Want Want Holdings Ltd,"No.1088 East Hong Song Road, 上海"
2056,Warner Bros,warnerbrosentertainment,Warner Music Group,Verified
2057,Waste Connections,official_waste_connections,Waste Connections Inc.,Official Waste Connections
2058,Waste Management,wastemanagement,"Waste Management, Inc.",Waste Management
2059,Wawa,wawa,Wawa Inc,Verified
2060,Weatherford International,c2internationalweatherford,Weatherford International Ltd.,C2 International Weatherford
2061,Weichai Power,generatorweichai,Weichai Power Co. Ltd.,Weichai Power Generator
2062,Wells Fargo,wellsfargo,Wells Fargo & Co.,Verified
2063,Welltower,welltowerrealestate,WELLTOWER INC.,Welltower Realestate
2064,Wens Foodstuff Group,United Foodstuff Packing Group,Wens Foodstuff Group Co Ltd,"Monfia, Cairo, Egypt"
2065,Wesfarmers,wesfarmersarts,WESFARMERS LIMITED,Wesfarmers Arts
2066,West Japan Railway,#westjapanrailway,West Japan Railway,604 posts
2067,Western Digital,westerndigital,Western Digital Corp.,Verified
2068,Westlake Chemical,#westlakechemical,Westlake Chemical Corporation,47 posts
2069,Westpac Banking Group,#westpacbankinggroup,Westpac Banking Corporation,1 post
2070,WestRock,westrockcompany,WestRock Company,WestRock
2071,Weyerhaeuser,weyerhaeuser,Weyerhaeuser Company,Weyerhaeuser Company
2072,WH Group,whats_app.group.links,WH Group Limited,whats app group links
2073,Wheaton Precious Metals,#wheatonpreciousmetals,Wheaton Precious Metals,144 posts
2074,Wheelock,wheelockfamilytheatre,Wheelock And Company Limited,Wheelock Family Theatre
2075,Whirlpool,whirlpoolusa,Whirlpool Corporation,Verified
2076,Whole Foods,wholefoods,"Whole Foods Market, Inc.",Verified
2077,Will Semiconductor,Not Found,Will Semiconductor Co Ltd Shanghai,Not Found
2078,Willis Towers Watson,willistowerswatson,Willis Towers Watson PLC,Willis Towers Watson
2079,Wilmar International,wilmar_international,Wilmar International Ltd.,Wilmar international inc
2080,Wintrust Financial,#wintrustfinancial,Wintrust Financial Corporation,36 posts
2081,Wipro,wiprolimited,Wipro Ltd.,Wipro Limited
2082,WEC Energy Group,#wecenergygroup,Wisconsin Energy Corporation,9 posts
2083,Wm Morrison Supermarkets,Wm Morrison Supermarkets,WM MORRISON SUPERMARKETS PLC,"London, Greater London"
2084,Wrigley,wrigleyboy_thegoldenone,Wm. Wrigley Jr. Company,Wrigley
2085,Wolters Kluwer,wolters.kluwer,Wolters Kluwer,Wolters Kluwer Nederland
2086,Woodside Petroleum,#woodsidepetroleum,Woodside Petroleum Limited,20 posts
2087,Woolworths,woolworths_au,WOOLWORTHS GROUP PLC,Verified
2088,Woori Financial Group,woorifg_official,Woori Bank,Woori Financial Group
2089,Workday,workday,"Workday, Inc.",Workday
2090,WPG Holdings,#wpgholdings,WPG HOLDINGS LTD.,8 posts
2091,WPP,wpp,WPP Group,Verified
2092,Wuchan Zhongda Group,Not Found,"Wuchan Zhongda Group Co., Ltd.",Not Found
2093,Wuestenrot & Wuerttembergische,bws Baden- Württembergische Steinbruchbetriebe GmbH & Co. KG,Wuestenrot & Wuerttembergische AG,"Burghalde 58, Gundelsheim"
2094,Wuliangye Yibin,#wuliangyeyibin,"Wuliangye Yibin Co., Ltd.",21 posts
2095,Wuxi Apptec,wuxi_apptec,WuXi AppTec Co Ltd,WuXi AppTec
2096,Wuxi Biologics,#wuxibiologics,Wuxi Biologics Cayman Inc,10 posts
2097,Wynn Resorts,#wynnresorts,"Wynn Resorts, Limited","2,725 posts"
2098,X5 Retail Group,x5retailgroup,X5 Retail Group NV,Verified
2099,Xcel Energy,xcelenergy,Xcel Energy Inc.,Verified
2100,Xerox,xerox,Xerox Corporation,Verified
2101,Xiamen C&D,C&D Hotel Xiamen,XIAMEN C&D INC,Xinyue Building
2102,Xiaomi,xiaomi.usa,Xiaomi Inc,Verified
2103,Xilinx,#xilinx,"Xilinx, Inc.","3,975 posts"
2104,Xinyu Iron & Steel,Win Iron & Steel,"Xinyu Iron & Steel Co.,Ltd","No. (172/173/174) Mawlamyine Street, Industrial Zone 1, South Dagon, Dagon, Yangon, Burma"
2105,XPO Logistics,xpologistics,"XPO Logistics, Inc.",XPO Logistics
2106,Yamada Denki,yamada.denki_official,Yamada Denki Company Limited,ヤマダデンキ
2107,Yamaha Motor,yamahamotorarg,Yamaha Motor Company Limited,Verified
2108,Yamato Holdings,#yamatoholdings,Yamato Holdings Company Limited,13 posts
2109,Yango Group,yango_group,"Yango Group Co., Ltd.",Фан группа про Яна Гордиенко💛
2110,Yanzhou Coal Mining,#yanzhoucoalminingltd,Yanzhou Coal Mining Co. Ltd.,1 post
2111,Yara International,yarainternational,Yara International ASA,Verified
2112,Yes Bank,yes_bank,Yes Bank Ltd.,Verified
2113,Yeti,yeti,"YETI Holdings, Inc.",Verified
2114,Yonghui Superstores,#yonghuisuperstores,"Yonghui Superstores Co., Ltd.",1 post
2115,Yonyou Network Technology,Institut Teknologi Harapan Bangsa,Yonyou Network Technology Co. Ltd.,"Jl. Dipatiukur 80-84, Bandung, Bandung"
2116,Youku,youku_official,Youku Tudou Inc (ADR),优酷网官方
2117,YouTube,youtube,YouTube,Verified
2118,YPF,Not Verified,YPF SA,Not Verified
2119,Yuanta Financial Holding,#yuantafinancialholdings,Yuanta Financial Holding Co. Ltd.,2 posts
2120,Yum China Holdings,#yumchinaholdings,Yum China Holdings Inc,2 posts
2121,Yum! Brands,yum_brands,"YUM! Brands, Inc.",Yum! Brands
2122,Yunnan Baiyao Group,Mavin Group,"YUNNAN BAIYAO GROUP CO., LTD","Hudland Tower 6 Nguyen Huu Tho, Thinh Liet, Hoang Mai, Hanoi, Vietnam"
2123,Yuzhou Properties,Not Found,Yuzhou Properties Company Limited,Not Found
2124,Zain,zastudios,Zain Group,Zain Ali Photography
2125,Zalando,zalando,Zalando SE,Verified
